,DHSID,LAT_GPS,LON_GPS,URBAN_RURA,RADIUS(KM),MOSAIKSID,LAT_MOSAIKS,LON_MOSAIKS,DISTANCE(M)
0,PH201700000386,18.2718920623,120.56454229,R,10,67,18.275,120.565,182.957
1,PH201700000387,18.2021947961,120.568506409,U,2,66,18.205,120.565,420.928
2,PH201700000388,18.0739141937,120.691112849,R,10,114,18.075,120.695,436.603
3,PH201700000389,18.061016514,120.510203187,R,10,51,18.065,120.515,578.855
4,PH201700000390,18.1556941707,120.663073749,R,10,106,18.155,120.665,217.777
5,PH201700000391,18.5980694666,120.809958614,R,10,134,18.595,120.805,578.419
6,PH201700000392,18.0644372882,120.562544581,R,10,65,18.065,120.565,274.878
7,PH201700000393,18.0055436892,120.686633458,R,10,111,18.005,120.685,184.234
8,PH201700000394,18.0719116079,120.690170759,R,10,114,18.075,120.695,564.873
9,PH201700000395,18.1915145136,120.54143737,R,10,58,18.195,120.545,442.407
10,PH201700000396,18.0688892715,120.479627771,R,10,42,18.065,120.475,559.384
11,PH201700000397,18.0578880779,120.570660651,R,10,71,18.055,120.575,509.411
12,PH201700000398,17.6527015281,120.421009268,R,10,35,17.655,120.425,462.237
13,PH201700000399,17.4858073955,120.50980577,R,10,49,17.485,120.505,536.317
14,PH201700000400,17.8558189237,120.529194124,R,10,55,17.855,120.525,468.653
15,PH201700000401,17.2119043165,120.456076464,R,10,38,17.215,120.455,211.588
16,PH201700000402,17.1003825664,120.483535192,R,10,44,17.105,120.485,307.201
17,PH201700000403,17.1712317843,120.427206418,R,10,34,17.175,120.425,324.376
19,PH201700000405,17.5760365586,120.395132647,U,2,27,17.575,120.395,60.153
20,PH201700000406,17.5546091237,120.396341056,R,10,26,17.555,120.395,150.731
21,PH201700000407,17.1411628676,120.520291037,R,10,53,17.145,120.525,566.681
22,PH201700000408,17.2419094938,120.510864551,R,10,50,17.245,120.515,491.831
23,PH201700000409,16.9373278669,120.739453169,R,10,124,16.935,120.735,512.538
24,PH201700000410,16.8241961505,120.43325905,R,10,36,16.825,120.435,198.809
25,PH201700000411,16.6047734394,120.394231891,R,10,25,16.605,120.395,86.356
26,PH201700000412,16.6127746071,120.425129655,R,10,33,16.615,120.425,126.139
28,PH201700000414,16.5680614565,120.333674028,R,10,22,16.565,120.335,226.49
30,PH201700000416,16.6082774491,120.309589968,U,2,18,16.605,120.305,542.504
31,PH201700000417,16.8693361065,120.41176471,R,10,31,16.865,120.415,434.735
32,PH201700000418,16.636631768,120.308604136,R,10,18,16.605,120.305,1819.613
33,PH201700000419,16.8046924407,120.378311062,U,2,24,16.805,120.375,368.579
34,PH201700000420,16.5117161996,120.400757682,R,10,29,16.515,120.405,506.627
35,PH201700000421,16.4375976521,120.420799784,R,10,32,16.435,120.425,489.41
36,PH201700000422,16.0631382636,120.460594808,R,10,40,16.065,120.465,500.952
37,PH201700000423,16.0313102546,120.668895924,R,10,104,16.035,120.665,481.102
38,PH201700000424,16.1029033381,120.416596684,R,10,30,16.105,120.415,213.197
39,PH201700000425,16.1614930189,119.988176487,U,2,541,16.165,119.985,403.414
40,PH201700000426,16.0823664243,120.356493743,U,2,23,16.085,120.355,222.463
41,PH201700000427,16.0118326507,120.315136813,R,10,20,16.015,120.315,178.421
42,PH201700000428,15.964959538,120.707268021,R,10,115,15.965,120.705,252.203
43,PH201700000429,15.83846844,120.574150936,R,10,69,15.835,120.575,217.712
44,PH201700000430,15.8153018331,120.476887248,R,10,41,15.815,120.475,210.542
45,PH201700000431,16.0958766189,119.924832609,R,10,538,16.095,119.925,52.068
46,PH201700000432,15.7633575828,120.273206082,R,10,11,15.765,120.275,219.697
47,PH201700000433,15.9121949189,120.208989175,R,10,4,15.915,120.205,470.518
48,PH201700000434,20.4587800434,121.959544853,U,2,458,20.455,121.965,646.105
49,PH201700000435,20.7059422866,121.820133389,R,10,427,20.705,121.825,543.955
50,PH201700000436,20.4704574705,121.979452247,R,10,461,20.475,121.975,562.712
51,PH201700000437,20.4181153595,121.95573768,R,10,453,20.415,121.955,200.854
52,PH201700000438,20.3762818247,121.949880759,R,10,450,20.375,121.945,547.931
53,PH201700000439,20.4490423128,121.992930678,R,10,467,20.445,121.995,331.151
54,PH201700000440,20.4508083072,121.972764094,R,10,460,20.455,121.975,350.327
55,PH201700000441,20.3595633853,121.940570287,R,10,449,20.355,121.945,560.973
56,PH201700000442,20.4262736131,121.969449219,R,10,457,20.425,121.965,500.38
57,PH201700000443,20.4596882405,121.969408642,R,10,458,20.455,121.965,562.574
58,PH201700000444,20.3892435535,121.93981487,R,10,445,20.385,121.935,590.718
59,PH201700000445,20.4127872611,121.94249903,R,10,451,20.415,121.945,307.056
60,PH201700000446,18.0372019111,121.618038197,R,10,410,18.035,121.615,361.393
61,PH201700000447,18.591553509,121.114617486,R,10,302,18.595,121.115,202.553
63,PH201700000449,17.9166873155,121.785625578,R,10,424,17.915,121.785,120.853
64,PH201700000450,17.6660657175,121.755244822,R,10,423,17.665,121.755,68.049
65,PH201700000451,17.793126811,121.83456266,R,10,430,17.795,121.835,120.148
66,PH201700000452,18.3340008363,122.107913321,R,10,491,18.335,122.105,329.284
67,PH201700000453,18.3893951619,121.521611849,R,10,390,18.385,121.525,455.225
68,PH201700000454,17.838990158,121.60110842,R,10,406,17.835,121.605,491.232
69,PH201700000455,17.9397306001,121.730064575,R,10,420,17.935,121.735,614.587
70,PH201700000456,17.6888871352,121.831430914,R,10,429,17.685,121.835,457.685
71,PH201700000457,17.8689614628,121.747759285,R,10,422,17.865,121.745,384.52
72,PH201700000458,17.1195651672,121.61326909,U,2,409,17.115,121.615,328.406
73,PH201700000459,17.2035972542,121.622938008,R,10,412,17.205,121.625,243.433
74,PH201700000460,17.1432834767,121.737711257,R,10,419,17.145,121.735,317.756
75,PH201700000461,16.7241335717,121.570178942,U,2,399,16.725,121.575,538.445
76,PH201700000462,16.9043395913,121.881679077,R,10,437,16.905,121.885,371.301
77,PH201700000463,16.7143381207,121.715247602,R,10,418,16.715,121.715,47.486
78,PH201700000464,17.142472891,121.932136534,R,10,444,17.145,121.935,351.386
79,PH201700000465,16.9302331476,121.878531834,R,10,434,16.935,121.875,482.269
80,PH201700000466,17.475246427,121.747387687,R,10,421,17.475,121.745,265.89
81,PH201700000467,16.7734408896,121.466174717,R,10,375,16.775,121.465,158.907
82,PH201700000468,16.5625332822,121.710959327,R,10,417,16.565,121.715,471.87
83,PH201700000469,16.8944766572,121.810577744,R,10,425,16.895,121.815,492.688
84,PH201700000470,16.5443933577,121.220634065,R,10,335,16.545,121.225,486.727
85,PH201700000471,16.4760419715,121.160198718,U,2,323,16.475,121.165,537.234
86,PH201700000472,16.2859621798,121.004565985,R,10,212,16.285,121.005,73.255
87,PH201700000473,16.4007008032,121.107206359,U,2,297,16.405,121.105,348.116
88,PH201700000474,16.2034459573,120.984122615,R,10,189,16.205,120.985,132.03
89,PH201700000475,16.2307779689,121.32740214,R,10,353,16.235,121.325,361.83
90,PH201700000476,16.5641752522,121.268236507,R,10,344,16.565,121.265,363.017
91,PH201700000477,16.5661405264,121.165959301,R,10,324,16.565,121.165,125.243
92,PH201700000478,16.6307217885,121.335664604,R,10,355,16.635,121.335,258.196
93,PH201700000479,16.2762763247,121.059895091,R,10,264,16.275,121.055,549.211
94,PH201700000480,16.3371962617,121.088188877,R,10,283,16.335,121.085,376.34
95,PH201700000481,16.3964847521,121.060014784,R,10,272,16.395,121.065,560.838
96,PH201700000482,16.5068317016,121.542518961,R,10,394,16.505,121.545,295.741
97,PH201700000483,16.5805229373,121.52630777,R,10,389,16.585,121.525,298.168
98,PH201700000484,16.4812507172,121.400009072,R,10,363,16.485,121.405,595.965
99,PH201700000485,16.3402347077,121.697389435,R,10,416,16.345,121.695,384.84
100,PH201700000486,16.2696358357,121.680291812,R,10,415,16.265,121.685,589.389
101,PH201700000487,16.1398344416,121.55377114,R,10,395,16.135,121.555,312.742
102,PH201700000488,16.5838099872,121.52008023,U,2,389,16.585,121.525,551.411
103,PH201700000489,16.5378446565,121.556819627,R,10,396,16.535,121.555,261.421
104,PH201700000490,16.5625780849,121.44719105,R,10,370,16.565,121.445,281.241
105,PH201700000491,16.4717892428,121.604448372,R,10,405,16.475,121.605,196.896
106,PH201700000492,16.3142103011,121.629870453,R,10,411,16.315,121.625,543.524
107,PH201700000493,16.3744251742,121.615609771,R,10,408,16.375,121.615,75.631
108,PH201700000494,15.8456353005,121.513376709,R,10,386,15.845,121.515,184.24
109,PH201700000495,15.9701177016,121.538375209,R,10,391,15.975,121.535,470.621
110,PH201700000496,16.4345661448,122.165967997,R,10,500,16.435,122.165,110.658
111,PH201700000497,15.7433180431,121.545904966,R,10,393,15.745,121.545,140.356
112,PH201700000498,15.7791032678,121.486129225,R,10,382,15.775,121.485,269.356
113,PH201700000499,15.728919104,121.476646337,R,10,378,15.725,121.475,292.039
114,PH201700000500,15.8132405517,121.513375306,R,10,385,15.815,121.515,207.594
115,PH201700000501,16.0010219215,121.645126108,R,10,413,16.005,121.645,232.501
116,PH201700000502,16.2023107601,122.016389929,R,10,472,16.205,122.015,221.402
117,PH201700000503,15.7273122899,121.520341717,R,10,388,15.725,121.525,535.137
118,PH201700000504,15.729736111,121.521845296,R,10,388,15.725,121.525,445.946
119,PH201700000505,15.6555441398,121.603772311,R,10,404,15.655,121.605,140.147
120,PH201700000506,14.851177433,120.480883879,R,10,43,14.855,120.485,505.939
121,PH201700000507,14.6288863203,120.454381544,R,10,37,14.625,120.455,229.575
122,PH201700000508,14.6581039932,120.295559304,U,2,15,14.655,120.295,184.886
123,PH201700000509,14.6679302955,120.546272155,U,2,57,14.665,120.545,217.79
124,PH201700000510,14.6525511319,120.502748922,R,10,47,14.655,120.505,285.935
125,PH201700000511,14.6227961184,120.561278514,U,2,63,14.625,120.565,432.165
126,PH201700000512,14.5554910095,120.408237766,R,10,28,14.555,120.405,361.082
127,PH201700000513,14.8136306091,120.539013703,U,2,56,14.815,120.535,452.96
128,PH201700000514,14.7349548849,120.280646984,R,10,12,14.735,120.285,484.04
129,PH201700000515,14.5699289833,120.594097456,U,2,72,14.565,120.585,1049.336
130,PH201700000516,14.5674700963,120.5871933,U,2,72,14.565,120.585,281.09
131,PH201700000517,14.4514319987,120.505629209,R,10,46,14.455,120.505,213.201
132,PH201700000518,14.8571753523,120.971486923,U,2,180,14.855,120.975,409.992
133,PH201700000519,14.8638958988,121.04879276,U,2,253,14.865,121.045,426.462
134,PH201700000520,14.7871823767,121.019181349,U,2,220,14.785,121.015,481.467
135,PH201700000521,14.8881777466,120.837529011,U,2,136,14.885,120.835,334.494
136,PH201700000522,14.8503657436,120.735346966,U,2,123,14.855,120.735,266.169
137,PH201700000523,14.8598849909,120.909549379,U,2,153,14.855,120.905,577.709
138,PH201700000524,14.8915666191,120.92787133,R,10,160,14.895,120.925,374.747
139,PH201700000525,15.2314746864,121.026827484,R,10,230,15.235,121.025,286.558
140,PH201700000526,14.9539508653,120.934571793,R,10,165,14.955,120.935,76.573
141,PH201700000527,14.9193564596,120.783008498,U,2,128,14.915,120.785,332.423
142,PH201700000528,14.7012272505,120.934872782,U,2,164,14.705,120.935,216.119
143,PH201700000529,14.8110724556,120.721837801,U,2,119,14.815,120.725,416.436
144,PH201700000530,15.7304280095,120.895385789,R,10,150,15.735,120.895,264.54
145,PH201700000531,15.602572976,120.90233132,R,10,154,15.605,120.905,327.518
146,PH201700000532,15.6350272285,121.245183692,R,10,339,15.635,121.245,20.486
147,PH201700000533,15.3007629238,120.886980702,U,2,149,15.305,120.885,327.108
148,PH201700000534,15.2738156927,120.862981125,R,10,143,15.275,120.865,234.433
149,PH201700000535,15.3417592601,120.978972243,U,2,181,15.345,120.975,479.054
150,PH201700000536,15.7789389747,120.993473969,U,2,202,15.775,120.995,282.249
151,PH201700000537,15.7698648726,120.654566873,R,10,99,15.765,120.655,279.984
152,PH201700000538,16.0103238176,121.0488015,R,10,254,16.015,121.045,500.595
153,PH201700000539,15.4743396526,121.026591273,U,2,231,15.475,121.025,180.944
154,PH201700000540,15.5979951874,121.085891469,R,10,282,15.595,121.085,198.484
155,PH201700000541,15.3206845321,121.066295151,R,10,271,15.325,121.065,286.451
156,PH201700000542,15.1350303542,120.601518974,U,2,82,15.135,120.605,387.076
157,PH201700000543,15.1614975388,120.633421113,U,2,94,15.165,120.635,264.962
158,PH201700000544,15.1708751705,120.566977653,U,2,64,15.175,120.565,320.562
